City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,colonia,50.9333,6.95,22.36,67,100,5.66,DE,1690135484
1,westport,41.1415,-73.3579,31.72,47,0,3.58,US,1690135289
2,port-aux-francais,-49.35,70.2167,6.25,82,81,17.69,TF,1690135485
3,la sarre,48.8002,-79.1996,26.15,35,24,3.09,CA,1690135485
4,whitehorse,60.7161,-135.0538,12.43,100,100,1.03,CA,1690135485
5,shizuoka,34.9769,138.3831,23.19,85,27,1.22,JP,1690135200
6,bethel,41.3712,-73.414,30.58,47,0,4.12,US,1690135485
7,blackmans bay,-43.0167,147.3167,9.18,78,92,1.89,AU,1690135485
8,adamstown,-25.066,-130.1015,20.5,71,9,8.54,PN,1690135486
9,alaghsas,17.0187,8.0168,32.94,43,20,6.69,NE,1690135486
10,cidreira,-30.1811,-50.2056,24.05,66,71,1.93,BR,1690135486
11,bredasdorp,-34.5322,20.0403,8.66,87,50,3.02,ZA,1690135486
12,bilibino,68.0546,166.4372,16.45,69,100,0.92,RU,1690135486
13,marsabit,2.3284,37.9899,21.05,55,73,10.19,KE,1690135487
14,haiku-pauwela,20.9219,-156.3051,26.69,84,75,8.23,US,1690135487
15,kidatu,-7.6992,36.9572,21.87,81,96,1.31,TZ,1690135487
16,ilulissat,69.2167,-51.1,10.01,76,75,2.06,GL,1690135487
17,grytviken,-54.2811,-36.5092,-6.7,73,15,4.67,GS,1690135487
18,chernyshevskiy,63.0128,112.4714,18.2,65,7,1.66,RU,1690135487
19,mazara del vallo,37.6641,12.588,36.97,58,1,3.95,IT,1690135488
20,lagunas,-5.2269,-75.6753,35.22,37,2,0.51,PE,1690135488
21,middlesboro,36.6084,-83.7166,30.67,47,40,0.0,US,1690135488
22,albany,42.6001,-73.9662,29.77,50,0,0.89,US,1690135207
23,mossel bay,-34.1831,22.146,10.96,72,83,5.28,ZA,1690135490
24,altai,46.3722,96.2583,14.85,40,29,1.3,MN,1690135491
25,iskateley,67.6803,53.1512,16.45,87,99,2.71,RU,1690135491
26,edinburgh of the seven seas,-37.0676,-12.3116,13.68,78,64,10.84,SH,1690135492
27,east london,-33.0153,27.9116,13.52,82,20,5.66,ZA,1690135237
28,turinsk,58.0458,63.696,13.92,91,90,3.15,RU,1690135492
29,ushuaia,-54.8,-68.3,1.81,75,75,9.77,AR,1690135397
30,ust-nera,64.5667,143.2,11.92,83,49,2.7,RU,1690135492
31,waitangi,-43.9535,-176.5597,11.57,97,100,1.34,NZ,1690135492
32,lautoka,-17.6167,177.4667,21.92,83,75,2.57,FJ,1690135492
33,west island,-12.1568,96.8225,24.99,83,95,6.17,CC,1690135492
34,irymple,-34.25,142.1667,3.38,86,0,4.06,AU,1690135492
35,wailua homesteads,22.0669,-159.378,25.44,92,100,4.12,US,1690135493
36,iqaluit,63.7506,-68.5145,9.85,71,75,5.66,CA,1690135493
37,saipan,15.1355,145.701,28.39,100,0,4.12,MP,1690135493
38,port lavaca,28.615,-96.6261,37.95,54,40,4.63,US,1690135493
39,fale old settlement,-9.3852,-171.2468,28.03,78,7,5.57,TK,1690135493
40,puerto el triunfo,13.2833,-88.55,32.36,59,80,4.93,SV,1690135493
41,oranjemund,-28.55,16.4333,12.62,84,88,5.67,NA,1690135493
42,margaret river,-33.95,115.0667,9.76,78,0,3.74,AU,1690135493
43,port lincoln,-34.7333,135.8667,12.63,74,100,3.05,AU,1690135493
44,patnanungan,14.7833,122.1833,28.16,78,100,7.57,PH,1690135493
45,malanje,-9.5402,16.341,24.86,22,0,2.14,AO,1690135494
46,sinabang,2.4803,96.3801,26.2,81,79,1.98,ID,1690135494
47,hammerfest,70.6634,23.6821,14.25,62,0,5.14,NO,1690135393
48,forbes,-33.3833,148.0167,2.73,88,3,2.19,AU,1690135494
49,lebu,-37.6167,-73.65,10.34,79,100,3.62,CL,1690135494
50,afaahiti,-17.75,-149.2833,22.93,73,98,5.09,PF,1690135494
51,kavaratti,10.5669,72.642,28.2,83,100,8.68,IN,1690135494
52,hermanus,-34.4187,19.2345,9.89,77,53,4.03,ZA,1690135494
53,zouerate,22.7187,-12.4521,38.55,15,0,5.61,MR,1690135494
54,olonkinbyen,70.9221,-8.7187,4.84,88,92,4.77,SJ,1690135495
55,anadyr,64.75,177.4833,12.28,93,100,0.0,RU,1690135277
56,lambarene,-0.7001,10.2406,25.61,74,75,2.66,GA,1690135495
57,nova vicosa,-17.8919,-39.3719,22.92,86,35,6.6,BR,1690135495
58,yichang,30.7144,111.2847,27.24,85,19,0.8,CN,1690135495
59,yellowknife,62.456,-114.3525,20.31,60,100,4.12,CA,1690135262
60,stanley,54.868,-1.6985,12.51,92,40,5.14,GB,1690135495
61,talnakh,69.4865,88.3972,12.34,86,42,1.01,RU,1690135495
62,quellon,-43.1167,-73.6167,8.14,76,75,2.57,CL,1690135495
63,alice springs,-23.7,133.8833,2.75,75,0,3.09,AU,1690135496
64,constitucion,-35.3333,-72.4167,11.93,67,100,3.86,CL,1690135219
65,gadzhiyevo,69.2551,33.3362,9.05,86,100,6.31,RU,1690135496
66,ancud,-41.8697,-73.8203,6.2,80,86,5.76,CL,1690135228
67,tateyama,34.9833,139.8667,24.06,84,33,1.79,JP,1690135310
68,prince rupert,54.3161,-130.3201,15.83,84,100,1.54,CA,1690135420
69,miramichi,47.0043,-65.4654,29.55,40,44,3.2,CA,1690135496
70,sorsk,54.0033,90.2467,12.54,87,93,1.41,RU,1690135496
71,aitape,-3.1374,142.3475,25.19,91,100,3.05,PG,1690135496
72,puerto ayora,-0.7393,-90.3518,29.98,70,64,5.26,EC,1690135496
73,sokol'skoye,57.1412,43.1589,15.16,87,96,7.97,RU,1690135496
74,atafu village,-8.5421,-172.5159,28.3,78,4,6.53,TK,1690135497
75,port mathurin,-19.6833,63.4167,22.93,75,24,9.31,MU,1690135497
76,momignies,50.0271,4.1652,18.3,97,100,4.7,BE,1690135497
77,yarmouth,41.7057,-70.2286,30.54,62,0,4.63,US,1690135497
78,georgetown,5.4112,100.3354,27.97,89,20,1.54,MY,1690135401
79,kingston,17.997,-76.7936,34.02,69,20,10.29,JM,1690135497
80,dudinka,69.4058,86.1778,12.57,81,45,3.85,RU,1690135497
81,mount gambier,-37.8333,140.7667,10.46,84,89,1.46,AU,1690135497
82,san patricio,28.017,-97.5169,36.76,38,0,2.6,US,1690135497
83,punta arenas,-53.15,-70.9167,2.35,71,10,4.22,CL,1690135002
84,usinsk,65.9939,57.5281,17.8,63,100,2.04,RU,1690135498
85,invercargill,-46.4,168.35,7.06,99,99,0.48,NZ,1690135219
86,tralee,52.2704,-9.7026,15.49,90,100,3.82,IE,1690135498
87,tambura,5.6,27.4667,25.71,65,80,0.53,SS,1690135226
88,avarua,-21.2078,-159.775,25.03,100,75,4.63,CK,1690135498
89,chonchi,-42.6128,-73.8092,8.4,71,86,1.43,CL,1690135498
90,high river,50.5834,-113.8687,25.61,67,23,3.67,CA,1690135498
91,kirakira,-10.4544,161.9205,25.2,89,100,3.71,SB,1690135498
92,nogliki,51.8333,143.1667,16.21,93,98,4.73,RU,1690135499
93,codrington,-38.2667,141.9667,11.13,82,98,2.46,AU,1690135499
94,naze,28.3667,129.4833,26.51,83,67,2.1,JP,1690135499
95,port elizabeth,-33.918,25.5701,13.16,82,0,7.72,ZA,1690135499
96,sylva,58.0348,56.7635,17.65,93,61,1.38,RU,1690135210
97,reuleuet,5.2167,96.2833,26.3,72,73,2.18,ID,1690135499
98,klaksvik,62.2266,-6.589,8.51,82,100,6.96,FO,1690135499
99,necochea,-38.5473,-58.7368,9.84,57,52,7.39,AR,1690135499
100,ulsteinvik,62.3432,5.8487,17.5,78,20,5.81,NO,1690135499
101,puerto natales,-51.7236,-72.4875,1.67,79,11,1.12,CL,1690135401
102,dongyang,29.2678,120.2253,24.4,93,97,0.79,CN,1690135371
103,sikonge,-5.6333,32.7667,25.06,34,81,2.71,TZ,1690135500
104,ribeira grande,38.5167,-28.7,25.43,69,40,7.2,PT,1690135500
105,longyearbyen,78.2186,15.6401,11.91,62,40,5.66,SJ,1690135500
106,thompson,55.7435,-97.8558,18.09,55,40,4.12,CA,1690135500
107,zavodskoy,43.4597,132.2922,22.77,100,100,5.0,RU,1690135500
108,papao,-17.75,-149.55,23.82,71,93,4.71,PF,1690135501
109,masterton,-40.9597,175.6575,7.16,98,100,1.23,NZ,1690135501
110,tafuna,-14.3358,-170.72,26.31,74,27,5.39,AS,1690135501
111,lodja,-3.4833,23.4333,27.68,31,47,0.67,CD,1690135506
112,san clemente del tuyu,-36.3569,-56.7235,13.32,68,51,5.81,AR,1690135506
113,cobija,-11.0267,-68.7692,33.1,52,40,3.09,BO,1690135506
114,namibe,-15.1961,12.1522,18.3,77,74,5.4,AO,1690135506
115,merizo village,13.2658,144.6691,28.32,89,94,5.46,GU,1690135506
116,polyarnyy,69.1989,33.4478,9.22,86,99,6.3,RU,1690135506
117,santa marinella,42.0345,11.8536,30.3,72,1,2.45,IT,1690135506
118,lihue,21.9789,-159.3672,25.77,90,100,4.12,US,1690135507
119,herbstein,50.55,9.35,21.01,69,100,6.42,DE,1690135507
120,tihuatlan,20.7167,-97.5333,32.29,66,100,0.0,MX,1690135507
121,broken hill,-31.95,141.4333,5.6,84,4,5.25,AU,1690135508
122,arfoud,31.4348,-4.2375,40.37,6,0,0.49,MA,1690135508
123,kourou,5.1552,-52.6478,32.03,75,26,3.54,GF,1690135508
124,ovalle,-30.5983,-71.2003,20.47,41,100,1.64,CL,1690135405
125,lubao,14.9167,120.55,26.04,89,100,1.95,PH,1690135508
126,huazhou,21.6333,110.5833,25.92,84,100,2.0,CN,1690135509
127,sao tome,0.3365,6.7273,24.02,82,92,4.22,ST,1690135509
128,nuuk,64.1835,-51.7216,13.34,76,20,3.09,GL,1690135499
129,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,77,0,5.0,RU,1690135509
130,nemuro,43.3236,145.575,15.02,100,100,5.2,JP,1690135244
131,nikolayevsk-on-amure,53.1406,140.73,15.69,72,68,0.85,RU,1690135509
132,minas de marcona,-15.2119,-75.1103,17.87,61,42,4.73,PE,1690135510
133,badger,64.8,-147.5333,25.07,65,61,1.02,US,1690135332
134,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1690135510
135,center,31.5107,-96.4247,34.58,45,40,1.54,US,1690135510
136,bunia,1.5667,30.25,23.38,44,72,1.88,CD,1690135510
137,delijan,33.9905,50.6838,32.38,14,72,5.39,IR,1690135510
138,hawaiian paradise park,19.5933,-154.9731,23.83,99,100,3.09,US,1690135511
139,papatowai,-46.5619,169.4708,8.82,96,100,1.54,NZ,1690135511
